#{"t_start": 1715023247.257906, "env_id": "None"}
r,l,t
-116.83349,501,1.07337
-118.727956,501,1.702188
-122.333899,501,2.335144
-119.150406,501,2.952166
-116.634877,501,10.028757
-114.653829,501,10.646592
-119.569278,501,11.254922
-114.783877,501,11.863452
-116.786564,501,18.882706
-111.733362,501,19.474103
-112.129377,501,20.074854
-116.228541,501,20.671887
-106.048909,501,27.732143
-114.40281,501,28.324562
-109.079647,501,28.928897
-102.918365,501,29.540998
-108.872796,501,36.576134
-106.236558,501,37.206934
-104.751421,501,37.812092
-108.655039,501,38.441758
-108.597114,501,45.494279
-106.491844,501,46.112532
-105.799249,501,46.728324
-101.931032,501,47.352161
-106.141747,501,54.51893
-101.169281,501,55.129555
-98.901194,501,55.761841
-102.361149,501,56.379662
-96.738225,501,63.453057
-101.204029,501,64.072778
-95.928024,501,64.681539
-90.839627,501,65.290807
-92.500921,501,72.368562
-88.015345,501,73.00747
-92.730084,501,73.659159
-90.683989,501,74.319165
-94.641227,501,81.426794
-82.693519,501,82.06011
-85.232565,501,82.749817
-86.628508,501,83.500666
-86.85529,501,91.121088
-83.834419,501,91.79654
-83.287636,501,92.454628
-80.451749,501,93.122201
-81.641756,501,100.398726
-75.644754,501,101.050923
-75.914035,501,101.693211
-77.386028,501,102.341031
-83.895784,501,103.043877
-75.551865,501,110.203411
-76.996235,501,110.90866
-75.634475,501,111.608864
-79.402311,501,112.308254
-79.260664,501,119.464073
-75.742403,501,120.161935
-75.835551,501,120.926723
-72.938034,501,121.750175
-71.610498,501,129.123724
-74.346246,501,130.084185
-53.475581,328,130.881875
-72.753065,501,131.991373
-74.113386,501,139.754251
-69.504468,501,140.912366
-47.157778,299,141.52025
-45.903083,293,142.312849
-46.056615,283,143.045353
-71.329186,501,144.544604
-46.153953,290,152.010293
-49.695192,306,152.889781
-45.028131,284,153.898412
-68.382154,501,155.675651
-69.860236,501,157.232113
-67.383429,501,165.583294
-46.328393,285,166.716916
-42.776039,267,167.686482
-43.25014,278,168.808048
-44.371644,276,169.858723
-44.299891,272,170.913333
-43.085282,268,171.885157
-39.432983,242,179.393015
-41.683573,256,180.422931
-39.396356,248,181.513462
-57.625291,414,183.051732
-39.707502,251,184.008985
-40.468741,253,184.96848
-38.330647,237,185.846267
-44.123265,275,193.445785
-41.527193,258,194.612891
-41.514264,259,195.800361
-40.12957,252,196.932172
-37.958619,240,197.991494
-42.080767,264,199.108806
-38.286335,242,200.191889
-40.132391,248,201.280707
-40.178367,247,208.873326
-37.454182,230,209.962975
-37.617574,236,211.078783
-38.481067,237,212.147968
-38.099112,238,213.250588
-38.494402,242,214.476169
-38.324641,241,215.534666
-38.801172,243,216.599736
-37.52695,235,217.717905
-36.860325,232,226.104294
-36.059044,228,227.212196
-36.273214,230,228.305501
-40.055521,253,229.417021
-39.916363,250,230.542435
-36.840677,232,231.715773
-37.370029,231,232.661091
-39.000337,243,233.820756
-37.895487,240,234.844949
-36.435024,227,243.166023
-38.45839,239,244.263942
-36.345281,229,245.344272
-36.680974,230,246.361382
-35.735452,227,247.437928
-36.183871,226,248.444589
-35.736339,223,249.521106
-37.554296,233,250.535485
-34.6778,214,251.532
-35.7489,225,259.91658
-34.467991,214,260.908893
-35.972049,224,261.982683
-35.279797,220,263.051526
-35.41038,221,264.060658
-35.77115,221,265.177441
-34.175534,216,266.235665
-35.956619,222,267.243398
-35.72495,220,268.320268
-33.659583,209,276.837292
-35.62696,221,277.919472
-32.878086,206,278.978081
-34.389818,213,280.040184
-34.993922,219,280.971398
-33.865152,211,282.032598
-34.637877,213,283.093588
-34.155152,213,284.158922
-32.338066,202,285.209102
-34.967539,216,286.274101
-33.145841,204,294.462241
-33.513132,212,295.545299
-33.440624,207,296.529682
-33.697495,210,297.589242
-31.384231,196,298.634695
-35.085164,216,299.627722
-33.191999,207,300.683117
-31.518772,196,301.722539
-32.661407,203,302.767492
-32.092243,199,303.814715
-33.020774,204,311.771451
-32.735617,206,312.824096
-31.363558,194,313.863219
-31.585858,196,314.835077
-31.842872,198,315.87592
-31.723884,199,316.849879
-33.49841,206,317.841361
-31.619811,196,318.888441
-31.42733,197,319.931719
-30.178849,187,320.897958
-31.481374,196,328.969314
-30.687611,193,329.940649
-32.378376,202,330.86116
-30.852439,193,331.900875
-31.626134,196,332.93931
-31.834048,198,333.916872
-30.582715,191,334.8911
-31.578326,198,335.947494
-30.529954,189,336.915283
-31.442685,197,337.966016
-31.152632,193,346.170124
-30.785437,190,347.157931
-30.252507,190,348.125668
-30.955743,190,349.162143
-29.863504,186,350.196771
-30.023795,187,351.159229
-31.140036,197,352.203413
-29.71635,183,353.231147
-30.926596,193,354.202974
-30.841027,191,355.258304
-30.865431,192,356.222051
-31.042004,195,364.42702
-30.202408,188,365.470585
-32.252777,199,366.532471
-29.065267,182,367.556164
-29.736977,185,368.515197
-29.63662,184,369.548458
-30.506374,192,370.585627
-30.373068,188,371.553806
-29.45203,185,372.588064
-30.198391,187,373.619795
-30.504028,191,374.654222
-30.683489,189,382.942779
-30.316827,187,383.911458
-29.232944,182,384.89303
-29.028083,181,385.855011
-29.311466,181,386.94902
-29.852046,185,387.913182
-30.696828,191,389.015173
-29.495994,184,389.977305
-30.395015,189,391.008055
-29.125323,182,392.041232
-28.909379,179,392.999545
-30.229243,188,401.109393
-30.008217,190,402.153585
-29.02889,179,403.111184
-28.684829,179,404.129363
-28.521546,179,405.150781
-30.187836,188,406.187417
-29.054636,181,407.140586
-29.443491,183,408.172877
-28.841978,179,409.195182
-28.817944,180,410.221139
-28.375047,176,411.243269
-28.794603,180,419.494791
-28.74748,181,420.538051
-28.243065,176,421.492634
-28.822583,181,422.513959
-28.803453,180,423.542065
-28.576421,176,424.568021
-29.308471,186,425.604573
-28.901581,179,426.628964
-28.405787,176,427.596265
-28.602876,179,428.554058
-28.808382,178,429.579052
-28.55828,180,430.532503
-29.183771,183,438.801188
-28.272306,176,439.761876
-28.296684,177,440.577425
-28.357316,177,441.534013
