#{"t_start": 1715246911.73011, "env_id": "PandaPickAndPlace-v3"}
r,l,t
-50.0,50,0.643276
-50.0,50,0.803698
-50.0,50,0.959108
-50.0,50,1.117711
-50.0,50,1.26338
0.0,1,1.267646
-50.0,50,1.423871
-50.0,50,1.580338
-5.0,6,1.597923
-50.0,50,1.750348
-50.0,50,1.906868
-50.0,50,2.065568
-50.0,50,2.218167
-50.0,50,2.378138
-50.0,50,2.53205
-50.0,50,2.687164
-50.0,50,2.844692
-50.0,50,2.996933
-50.0,50,3.150135
-50.0,50,3.303701
-50.0,50,3.457761
-50.0,50,3.671625
-50.0,50,3.824798
-50.0,50,3.980705
-50.0,50,4.134219
-50.0,50,4.292058
-50.0,50,4.445668
-50.0,50,4.608377
-50.0,50,4.765367
-50.0,50,4.924179
-50.0,50,5.094539
-50.0,50,5.283786
0.0,1,5.288785
-50.0,50,5.458146
0.0,1,5.460869
-50.0,50,5.693925
-50.0,50,5.885106
-50.0,50,6.04883
-50.0,50,6.211464
-50.0,50,6.373877
-50.0,50,6.546294
-50.0,50,6.740341
-50.0,50,6.923268
-50.0,50,7.101485
-50.0,50,15.196912
-50.0,50,15.37195
-50.0,50,15.533946
-50.0,50,15.690938
-50.0,50,15.862767
-26.0,27,15.952385
-50.0,50,16.116327
-50.0,50,16.271586
-50.0,50,16.430794
-50.0,50,16.587093
-50.0,50,16.742064
-50.0,50,16.897486
-50.0,50,17.0549
-50.0,50,17.214175
-50.0,50,17.369776
-50.0,50,17.535913
-50.0,50,17.69837
-50.0,50,17.859528
-50.0,50,18.019488
-50.0,50,18.172481
-50.0,50,18.340072
-50.0,50,18.498801
-50.0,50,18.65993
-50.0,50,18.818852
-50.0,50,18.978603
0.0,1,18.981368
-50.0,50,19.139871
-50.0,50,19.300323
-50.0,50,19.460009
-50.0,50,19.635635
-50.0,50,19.794241
-50.0,50,19.953393
-50.0,50,20.113905
-50.0,50,20.267554
-50.0,50,20.429161
-50.0,50,20.58347
-50.0,50,20.734882
-50.0,50,20.88819
-50.0,50,21.039849
-50.0,50,21.196008
-50.0,50,21.353483
0.0,1,21.356549
-50.0,50,21.524722
-50.0,50,21.681665
-50.0,50,28.681777
-50.0,50,28.845203
-50.0,50,28.998403
-50.0,50,29.160176
-50.0,50,29.317755
-50.0,50,29.480212
-50.0,50,29.636978
-50.0,50,29.792762
-50.0,50,29.954641
-50.0,50,30.111183
-50.0,50,30.275219
-50.0,50,30.429129
-50.0,50,30.586691
-50.0,50,30.741994
-50.0,50,30.898481
-50.0,50,31.062764
-50.0,50,31.217703
-50.0,50,31.37185
-50.0,50,31.536739
-50.0,50,31.695028
-50.0,50,31.850493
-50.0,50,32.00074
-50.0,50,32.158433
-50.0,50,32.314983
-50.0,50,32.474884
-50.0,50,32.633433
-50.0,50,32.792546
-50.0,50,32.954649
-50.0,50,33.110679
-50.0,50,33.266489
-50.0,50,33.424209
-50.0,50,33.584054
-50.0,50,33.738487
-50.0,50,33.894438
-50.0,50,34.053151
-50.0,50,34.206945
-50.0,50,34.363254
-50.0,50,34.526491
-50.0,50,34.68293
-50.0,50,34.83731
-50.0,50,34.99676
-50.0,50,42.068391
-50.0,50,42.226711
-50.0,50,42.38454
-50.0,50,42.535611
-50.0,50,42.691185
-50.0,50,42.848426
0.0,1,42.850962
-50.0,50,43.012477
-50.0,50,43.175127
-50.0,50,43.332081
-50.0,50,43.486975
-50.0,50,43.644031
-50.0,50,43.80456
