#{"t_start": 1715275577.2258902, "env_id": "PandaPush-v3"}
r,l,t
-15.011602,50,0.855375
-4.143411,50,3.656759
-9.984532,50,11.875757
-11.197901,50,20.151165
-8.948894,50,28.573971
-3.550589,50,36.892352
-7.081551,50,45.286959
-13.456202,50,53.478594
-5.379293,50,61.674583
-10.96096,50,70.023452
-3.966722,50,78.257886
-9.75,50,86.445288
-14.114786,50,94.679365
-10.314806,50,102.872142
-12.120381,50,111.085259
-9.630555,50,119.283624
-5.081576,50,127.518563
-10.892599,50,135.75186
-5.558975,50,144.029209
-10.181341,50,152.216609
-9.702362,50,160.752903
-11.881581,50,168.966192
-9.207128,50,177.158154
-2.783395,50,185.390377
-17.868723,50,193.695214
-12.489515,50,201.921771
-2.540982,50,210.125137
-3.599096,50,218.342807
-8.37355,50,226.620801
-12.238638,50,234.889439
-7.224923,50,243.215925
-0.045657,1,243.380908
-9.652681,50,251.687958
-11.255961,50,259.939307
-10.642951,50,268.229273
-12.21611,50,276.484483
-11.427066,50,284.702044
-4.725994,19,287.812388
-3.394167,50,296.061786
-10.033173,50,304.305142
-5.021722,50,312.575122
-8.580999,50,320.818081
-18.067607,50,329.154296
-5.312317,50,337.364674
-12.907787,50,346.947353
-10.246621,50,356.223631
-6.793459,50,364.276559
-6.275348,50,372.295073
-8.025428,50,380.303798
-10.432725,50,388.308881
-10.040613,50,396.320232
-10.995558,50,404.387475
-7.450698,50,412.840037
-11.07047,50,421.123169
-8.032229,50,429.559484
-7.126824,50,438.112022
-5.779438,50,446.387191
-11.549514,50,454.630256
-4.701629,50,462.828961
-2.746005,50,471.04203
-3.315507,50,479.296607
-11.123173,50,487.697704
-22.689863,50,495.999495
-0.013663,1,496.159192
-10.820806,50,504.383333
-5.138278,50,512.693819
-5.967932,50,520.924609
-8.320569,50,529.129794
-14.162119,50,537.362776
-5.078235,50,545.631605
-14.79123,50,553.815819
-2.989447,50,562.101815
-7.141396,50,570.337297
-8.158577,50,578.530594
-0.045256,1,578.692882
-5.217717,50,587.012117
-17.521164,50,595.236009
-10.338076,50,603.526769
-0.024379,1,603.693488
-12.957999,50,611.971443
-6.808526,50,620.153548
-9.716166,50,628.396937
-3.205821,50,636.670681
-3.496506,50,644.861067
-7.011988,50,653.110037
-4.871446,50,661.428609
-14.877975,50,669.641037
-4.494815,50,677.900774
-13.187814,50,686.130231
-4.173329,50,694.344695
-0.043558,1,694.507988
-11.767379,50,702.793182
-22.664509,50,711.142496
-0.039347,1,711.307
-13.057464,50,719.57841
-16.227019,50,727.817448
-3.235939,50,736.11202
-14.940403,50,744.506618
-13.844653,50,752.664517
-10.862617,50,760.780639
-10.378795,50,768.773141
-5.789619,50,776.797833
-5.181101,50,784.820676
-7.996365,50,792.964915
-5.795043,50,801.142247
-10.1489,50,809.35393
-12.188841,50,817.579435
-0.048006,1,817.740941
-6.286511,50,826.284494
-5.784017,50,834.516462
-6.884023,50,842.95607
-6.292728,50,852.322234
-0.026297,1,852.515672
-11.744159,50,862.647379
-0.017009,1,862.845632
-4.783658,50,872.049868
-10.491385,50,881.065719
-13.395946,50,890.14661
-6.085363,50,899.139949
-5.041513,50,908.204442
-11.007357,50,917.264969
-12.34628,50,926.288975
-7.740723,50,935.250548
-12.790292,50,944.274196
-5.24444,50,953.368024
-0.017147,1,953.555663
-7.895622,50,962.566109
-5.705369,50,971.586839
-8.89713,50,980.54621
-10.913775,50,989.628948
-5.929453,50,998.673479
-15.668068,50,1007.72153
-3.867739,50,1016.745825
-4.169976,50,1025.730873
-6.877302,50,1034.805386
-9.996275,50,1043.794206
-3.701069,50,1052.814892
-6.44814,50,1061.875485
-13.744762,50,1070.908666
-6.728474,50,1079.934821
-0.045424,1,1080.11444
-0.038495,1,1080.29248
-8.726435,50,1089.325704
-10.676608,50,1098.469262
-10.79595,50,1107.595813
-12.47462,50,1116.682205
-4.63858,50,1125.727879
-4.645581,50,1134.774263
-7.098273,50,1143.790593
-8.177293,50,1152.904667
-8.791692,50,1161.94508
-5.913209,50,1170.792029
-6.176642,50,1179.307013
-15.349478,50,1187.703455
-5.363636,50,1196.00769
-9.433724,50,1204.21798
-9.976116,50,1212.469387
-10.822316,50,1220.827103
-6.236499,50,1229.253214
-6.373663,50,1237.639309
-9.162437,50,1245.994236
-9.548597,50,1254.374243
-0.014642,1,1254.543904
-4.837171,50,1263.255487
-3.247047,50,1272.188661
-4.192466,50,1281.20264
-12.521283,50,1290.222985
-10.49613,50,1299.333398
