#{"t_start": 1715269046.7802482, "env_id": "PandaPush-v3"}
r,l,t
-14.141961,50,0.586839
-14.141835,50,0.74788
-14.141985,50,0.901615
-14.141794,50,1.065237
-20.903217,50,1.223659
-14.141817,50,1.377065
-14.141826,50,1.534386
-14.914181,50,1.691692
-16.660012,50,1.845234
-13.089126,50,2.000548
-14.142878,50,2.151742
-17.657367,50,2.303201
-14.142058,50,2.462672
-14.14207,50,2.616272
-14.142061,50,2.774184
-14.142064,50,2.930225
-14.142053,50,3.08746
-14.29519,50,3.242589
-11.578889,50,3.394255
-14.14066,50,3.548684
-14.140544,50,3.766275
-19.389794,50,3.921006
-14.142379,50,4.077018
-14.142285,50,4.237518
-13.284245,50,4.39461
-14.142074,50,4.55264
-14.142062,50,4.710161
-14.902948,50,4.867351
-14.142067,50,5.031949
-13.530316,50,5.191114
-14.142388,50,5.346289
-14.354912,50,5.501478
-21.916002,50,5.656864
-13.704084,50,5.813562
-14.142394,50,5.963106
-34.858002,50,6.116788
-14.14223,50,6.279888
-14.142302,50,6.440023
-14.039996,50,6.602391
-14.142031,50,6.759544
-14.142353,50,14.429378
-14.14238,50,14.624436
-14.142404,50,14.792283
-11.664086,50,15.000739
-14.142063,50,15.16851
-14.142069,50,15.33678
-14.142057,50,15.493691
-13.040498,50,15.650915
-22.117221,50,15.81042
-14.140123,50,15.960057
-14.140772,50,16.114697
-21.699947,50,16.273081
-14.142476,50,16.430336
-14.141931,50,16.585252
-15.238457,50,16.74348
-13.656823,50,16.903786
-17.020847,50,17.056285
-15.419374,50,17.216295
-14.134455,50,17.375382
-14.142053,50,17.530214
-14.142059,50,17.692063
-14.939762,50,17.852897
-17.248814,50,18.00753
-14.210691,50,18.166355
-14.142396,50,18.322184
-15.742727,50,18.47888
-29.789097,50,18.637265
-10.569115,50,18.798177
-12.269676,50,18.950666
-17.84761,50,19.110998
-26.429011,50,19.271646
-21.11525,50,19.431224
-14.143382,50,19.585985
-31.686066,50,19.739608
-14.143375,50,19.893796
-14.142481,50,20.051814
-14.142987,50,20.203364
-14.142904,50,20.364226
-14.142761,50,20.519136
-14.142987,50,20.679156
-14.142918,50,20.846408
-14.142809,50,27.871467
-32.349001,50,28.051207
-16.382931,50,28.20953
-14.142048,50,28.372261
-14.142391,50,28.525956
-14.142418,50,28.679347
-12.475143,50,28.836561
-14.142285,50,28.991547
-35.028,50,29.147457
-14.140144,50,29.30683
-14.14074,50,29.466876
-14.140544,50,29.622935
-14.140547,50,29.778657
-16.432974,50,29.925505
-14.142102,50,30.080278
-14.142053,50,30.234959
-14.142063,50,30.38869
-28.443064,50,30.546397
-14.142379,50,30.702224
-14.142372,50,30.863445
-14.762462,50,31.018678
-24.934279,50,31.176697
