#{"t_start": 1715091040.1564999, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.569631
-50.0,50,0.711461
-50.0,50,0.852234
-50.0,50,0.991971
-50.0,50,1.129748
-50.0,50,1.271831
-50.0,50,1.419749
-50.0,50,1.560186
-2.0,3,1.568779
-50.0,50,1.709315
-50.0,50,1.849098
-50.0,50,1.987356
-50.0,50,2.128783
-25.0,26,2.1974
-50.0,50,2.335979
-50.0,50,2.472909
-50.0,50,2.60869
-50.0,50,2.749284
-48.0,49,2.88697
-50.0,50,3.027288
-9.0,10,3.05476
-50.0,50,3.191823
-50.0,50,3.38231
-50.0,50,3.52478
-10.0,11,3.555025
-50.0,50,3.692554
-9.0,10,3.721856
-1.0,2,3.727763
-50.0,50,3.867941
-50.0,50,4.011356
-48.0,49,4.146908
-50.0,50,4.2857
-50.0,50,4.428718
-50.0,50,4.576058
-50.0,50,4.712539
-50.0,50,4.856179
-7.0,8,4.878879
-50.0,50,5.020758
-50.0,50,5.161978
-50.0,50,5.304663
-50.0,50,5.44955
-50.0,50,5.59765
-50.0,50,5.741801
-50.0,50,5.919391
-50.0,50,6.070562
-50.0,50,6.269218
-50.0,50,13.465592
-50.0,50,13.636021
-50.0,50,13.784612
-50.0,50,13.934743
-3.0,4,13.94766
-50.0,50,14.103196
-50.0,50,14.250902
-50.0,50,14.418788
-50.0,50,14.570516
-50.0,50,14.716674
-50.0,50,14.858151
-50.0,50,15.002767
-50.0,50,15.150622
-50.0,50,15.300718
-50.0,50,15.450008
-50.0,50,15.59564
-18.0,19,15.650957
-50.0,50,15.799394
-50.0,50,15.938181
-50.0,50,16.087158
-50.0,50,16.239089
-3.0,4,16.251578
-50.0,50,16.478961
0.0,1,16.482637
-50.0,50,16.650655
-14.0,15,16.696896
-50.0,50,16.845035
-50.0,50,17.000686
-50.0,50,17.157876
-50.0,50,17.308643
-50.0,50,17.454742
-50.0,50,17.599683
-11.0,12,17.633605
-50.0,50,17.774852
-50.0,50,17.920662
-50.0,50,18.064836
-3.0,4,18.077603
-50.0,50,18.219673
-3.0,4,18.231147
-8.0,9,18.256169
-8.0,9,18.283415
-50.0,50,18.42784
0.0,1,18.430667
-50.0,50,18.577919
-50.0,50,18.731908
-50.0,50,18.879003
-50.0,50,19.037265
-50.0,50,19.191744
-50.0,50,19.341494
-42.0,43,19.490556
0.0,1,19.49318
-50.0,50,19.645198
-50.0,50,26.992586
-50.0,50,27.1427
-50.0,50,27.286543
-50.0,50,27.43558
-50.0,50,27.579357
-50.0,50,27.721297
-50.0,50,27.872686
-50.0,50,28.025071
-50.0,50,28.175861
0.0,1,28.179051
-50.0,50,28.324497
-50.0,50,28.476233
-33.0,34,28.577969
-5.0,6,28.595564
-50.0,50,28.745933
-50.0,50,28.897134
-50.0,50,29.042453
0.0,1,29.045412
-9.0,10,29.074458
-50.0,50,29.220735
-50.0,50,29.37027
-50.0,50,29.51621
-50.0,50,29.6671
-50.0,50,29.809281
-50.0,50,29.957858
-50.0,50,30.104094
-50.0,50,30.249198
-50.0,50,30.392985
-50.0,50,30.542233
-16.0,17,30.593143
-50.0,50,30.738677
-50.0,50,30.890427
-33.0,34,30.993037
-50.0,50,31.134595
-50.0,50,31.277149
-50.0,50,31.417631
-50.0,50,31.565911
-50.0,50,31.708213
-50.0,50,31.850478
-50.0,50,31.994935
-50.0,50,32.135097
-50.0,50,32.280504
-50.0,50,32.421811
-50.0,50,32.576895
-50.0,50,32.724863
-50.0,50,39.34471
-50.0,50,39.506636
-50.0,50,39.654706
-50.0,50,39.800516
-50.0,50,39.942894
-50.0,50,40.087567
-50.0,50,40.229266
-50.0,50,40.371417
-50.0,50,40.514985
-50.0,50,40.664705
-50.0,50,40.810332
-50.0,50,40.957339
-13.0,14,40.997991
-50.0,50,41.143649
-50.0,50,41.290749
-50.0,50,41.428788
-50.0,50,41.574904
-50.0,50,41.719692
-50.0,50,41.869031
-50.0,50,42.008584
-50.0,50,42.146841
-50.0,50,42.285888
-50.0,50,42.425947
-50.0,50,42.563853
-50.0,50,42.70807
-50.0,50,42.847659
-50.0,50,42.989089
-5.0,6,43.007156
-50.0,50,43.150101
-50.0,50,43.291777
-50.0,50,43.434935
-50.0,50,43.58289
-50.0,50,43.723179
-50.0,50,43.868948
-50.0,50,44.011133
-50.0,50,44.150154
-50.0,50,44.292678
-50.0,50,44.430789
-50.0,50,44.568086
-50.0,50,44.715211
-50.0,50,44.85589
-50.0,50,44.997
-50.0,50,45.141731
-50.0,50,51.710136
-50.0,50,51.86224
-50.0,50,52.002983
-5.0,6,52.018794
-50.0,50,52.160733
0.0,1,52.163683
-50.0,50,52.303756
-50.0,50,52.443561
-50.0,50,52.585079
-50.0,50,52.725973
-50.0,50,52.863988
-50.0,50,53.010218
-50.0,50,53.147205
-4.0,5,53.160145
-50.0,50,53.2958
0.0,1,53.297934
-50.0,50,53.432808
-50.0,50,53.570889
-50.0,50,53.719389
-50.0,50,53.8609
-50.0,50,54.016468
-13.0,14,54.05556
-50.0,50,54.197061
-50.0,50,54.341239
-50.0,50,54.487026
-50.0,50,54.625671
-50.0,50,54.767441
-5.0,6,54.782541
-50.0,50,54.923412
-50.0,50,55.063999
-50.0,50,55.206642
-19.0,20,55.263826
-50.0,50,55.401499
-6.0,7,55.420259
-50.0,50,55.561956
-50.0,50,55.701846
-50.0,50,55.842078
-50.0,50,55.984932
-50.0,50,56.12722
-50.0,50,56.267731
-6.0,7,56.287254
-50.0,50,56.429653
-50.0,50,56.573464
-50.0,50,56.730117
-50.0,50,56.898336
-50.0,50,57.051961
-50.0,50,57.249572
-50.0,50,57.403849
-50.0,50,57.605525
-50.0,50,65.196095
-1.0,2,65.202671
-50.0,50,65.355808
-50.0,50,65.500368
-50.0,50,65.637382
-50.0,50,65.774993
-50.0,50,65.922388
-50.0,50,66.074185
-50.0,50,66.229468
-50.0,50,66.371048
-50.0,50,66.519511
-50.0,50,66.673766
-26.0,27,66.758672
-50.0,50,66.902967
-4.0,5,66.916853
-5.0,6,66.934562
-50.0,50,67.079628
-50.0,50,67.222243
-50.0,50,67.387722
-1.0,2,67.394289
-2.0,3,67.404775
-50.0,50,67.556525
-11.0,12,67.590175
-15.0,16,67.63628
-50.0,50,67.77812
-50.0,50,67.919784
-50.0,50,68.057251
-3.0,4,68.067562
-2.0,3,68.075532
-27.0,28,68.15333
-50.0,50,68.294399
-50.0,50,68.435607
-8.0,9,68.4632
-50.0,50,68.601559
-50.0,50,68.741921
-50.0,50,68.881655
-50.0,50,69.021169
-50.0,50,69.160544
-50.0,50,69.300468
-50.0,50,69.434592
-50.0,50,69.575172
-50.0,50,69.71764
-1.0,2,69.724836
-50.0,50,69.861405
-50.0,50,69.99976
-8.0,9,70.024939
-50.0,50,70.172913
-50.0,50,70.310934
-50.0,50,70.444742
-5.0,6,70.461466
-50.0,50,70.601135
-50.0,50,70.740632
-50.0,50,70.882746
-50.0,50,77.517558
-50.0,50,77.670087
-50.0,50,77.807
-50.0,50,77.940715
-50.0,50,78.068601
-50.0,50,78.203469
-50.0,50,78.34041
-50.0,50,78.485902
-50.0,50,78.621451
-50.0,50,78.75777
-50.0,50,78.894344
-50.0,50,79.028457
-50.0,50,79.17137
-50.0,50,79.314817
-50.0,50,79.471443
-50.0,50,79.616549
-7.0,8,79.638832
-50.0,50,79.791517
-50.0,50,79.931998
-50.0,50,80.079332
-3.0,4,80.089962
-6.0,7,80.111136
-1.0,2,80.115945
-50.0,50,80.250352
-50.0,50,80.394131
-50.0,50,80.53067
-50.0,50,80.670108
-50.0,50,80.809469
-5.0,6,80.82595
-50.0,50,80.967179
-50.0,50,81.113563
-50.0,50,81.247823
-50.0,50,81.388756
-50.0,50,81.5424
-50.0,50,81.68336
-50.0,50,81.828122
-50.0,50,81.967708
-50.0,50,82.108845
-50.0,50,82.264285
-50.0,50,82.416938
-50.0,50,82.651625
-50.0,50,82.842562
-5.0,6,82.860888
-5.0,6,82.877765
-6.0,7,82.896605
-50.0,50,83.033135
-50.0,50,83.170975
-50.0,50,83.313852
-14.0,15,83.355624
-50.0,50,90.532656
-50.0,50,90.677128
0.0,1,90.679864
-50.0,50,90.816857
-50.0,50,90.950277
-50.0,50,91.099189
-50.0,50,91.250335
-50.0,50,91.387955
-2.0,3,91.396948
-50.0,50,91.531765
