#{"t_start": 1715162330.896508, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-408.617795,1001,19.545422
-347.244485,1001,40.099544
-240.240597,1001,59.617597
-154.852108,1001,78.586184
-176.329541,1001,99.345377
-0.196793,3,99.499487
-0.19287,3,99.647916
-0.19379,3,99.879578
-0.194662,3,100.093894
-0.189751,3,100.324709
-0.191303,3,100.549269
-0.198176,3,100.762777
-0.248493,4,101.006773
-191.85718,915,118.245409
-8.460184,76,119.796534
-174.367591,1001,137.694308
-2.755777,32,138.393636
-0.146551,2,138.622242
-0.14263,2,138.839561
-0.140921,2,139.043802
-0.142222,2,139.221944
-0.144781,2,139.41244
-0.146101,2,139.594099
-0.146526,2,139.780412
-0.145937,2,139.964519
-0.145127,2,140.154067
-0.146078,2,140.335234
-0.148619,2,140.519426
-0.148536,2,140.70718
-0.149743,2,140.89188
-0.152955,2,141.078579
-0.155174,2,141.268898
-0.155143,2,141.463053
-0.152843,2,141.646227
-0.150474,2,141.8416
-0.14939,2,142.023313
-0.148918,2,142.210087
-0.147601,2,142.393034
-0.148791,2,142.577198
-0.153369,2,142.753606
-0.156878,2,142.940579
-0.160297,2,143.121751
-0.162754,2,143.301886
-0.189907,3,143.506545
-0.209335,3,143.712046
-0.237908,3,143.910593
-0.23387,3,144.107226
-0.213973,3,144.30856
-0.214688,3,144.516053
-0.215689,3,144.714297
-0.21864,3,144.916245
-0.234227,3,145.113709
-0.224338,3,145.31504
-0.228932,3,145.510308
-0.232334,3,145.713029
-0.239138,3,145.903222
-0.234475,3,146.096181
-0.236761,3,146.291649
-0.244143,3,146.499811
-0.243077,3,146.692878
-0.233495,3,146.901602
-0.233358,3,147.09992
-0.246349,3,147.293109
-0.240942,3,147.503023
-0.232939,3,147.702131
-0.215796,3,147.917909
-0.22795,3,148.109872
-0.234364,3,148.305153
-120.935518,955,167.711454
-0.181157,3,167.913378
-0.184293,3,168.108013
-0.181581,3,168.309025
-0.174895,3,168.503736
-0.172919,3,168.705313
-0.177422,3,168.915447
-0.180977,3,169.115115
-0.175415,3,169.315007
-0.135424,2,169.461009
-0.134537,2,169.600604
-0.138431,2,169.749898
-0.156339,2,169.900773
-0.20362,3,170.066218
-0.146965,2,170.212894
