#{"t_start": 1715252734.637954, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-366.434282,501,4.319361
-359.497116,501,8.021912
-183.805307,501,11.78127
-272.947843,501,16.089086
-194.137086,501,27.272355
-240.532948,501,31.622841
-241.272421,501,35.954485
-394.552142,501,40.694278
-193.867515,501,4.523241
-166.914935,501,8.685994
-156.40465,501,13.119458
-170.932377,501,17.510167
-4.266826,33,18.060611
-153.623862,501,29.16172
-152.709204,501,34.139606
-151.545648,501,38.87527
-0.142169,2,38.966054
-165.088546,501,43.805878
-41.600985,173,2.35124
-144.933521,501,6.9895
-279.753581,501,11.840148
-155.05448,501,16.737495
-3.812295,33,17.081655
-150.887615,501,28.58295
-147.845478,501,33.386732
-164.28766,501,38.216546
-259.07184,501,43.276039
-151.81473,501,55.098411
-148.737842,501,60.184028
-0.190098,3,60.272061
-120.167011,501,65.068415
-148.495621,501,69.982367
-145.927796,501,81.597284
-167.844404,501,86.705413
-148.809767,501,92.194433
-0.710637,7,92.323827
-146.645514,501,97.514059
-0.189836,3,97.601757
-0.19816,3,97.690996
-1.32827,13,97.859161
-1.360419,13,98.030483
-0.925248,9,98.163039
-78.317378,501,5.1595
-0.463573,5,5.357551
-144.054392,501,10.138554
-143.0398,501,15.200694
-226.185441,501,20.377222
-0.221968,3,20.468872
-0.568562,7,20.584777
-1.235151,13,20.969453
-197.247682,501,33.032797
-147.315405,501,38.592123
-0.132725,2,38.753687
-140.964968,501,43.861356
-147.643365,501,49.284889
-0.404751,5,49.392417
-52.798316,200,59.985823
-0.44431,6,60.109505
-6.372998,51,60.642881
-0.669916,6,60.766511
-105.992776,501,66.792673
-0.244241,3,66.879746
-0.220545,3,66.972389
-0.131111,2,67.053433
-0.685314,7,67.184648
-0.740803,8,67.316071
-130.614115,501,72.786353
-192.085656,501,78.002125
-257.522808,501,90.661645
-136.399093,501,96.120734
-109.131673,501,102.418454
-538.175765,501,107.702401
