#{"t_start": 1715343711.8665652, "env_id": "PandaSlide-v3"}
r,l,t
-16.249052,50,0.882759
-26.214734,50,3.947503
-17.35743,50,12.073677
-22.150131,50,20.2679
-15.260375,50,28.476523
-11.682404,50,36.744273
-14.647097,50,44.989182
-26.836503,50,53.181169
-17.844527,50,61.440447
-20.418788,50,69.709064
-33.096011,50,77.940082
-23.978982,50,86.169241
-15.510427,50,94.386063
-20.186216,50,102.594496
-29.849713,50,110.774428
-19.017695,50,119.059559
-21.403873,50,127.360241
-25.069774,50,135.747423
-9.116458,50,143.987074
-14.116106,50,152.215232
-25.536222,50,160.642365
-18.317761,50,168.860775
-21.060718,50,176.990722
-17.614412,50,185.345942
-16.39625,50,193.591306
-22.524977,50,201.868956
-15.388433,50,210.152968
-16.037859,50,218.455071
-22.762903,50,226.763262
-25.514658,50,235.088642
-17.868949,50,243.387678
-26.04709,50,251.665779
-23.240284,50,259.94631
-18.167611,50,268.219208
-26.592159,50,276.578484
-28.687476,50,284.814692
-16.45682,50,293.099194
-14.141172,50,301.280261
-10.525257,50,309.501173
-27.420963,50,317.722563
-28.592383,50,326.077085
-24.893469,50,334.468363
-16.194738,50,342.748741
-19.456086,50,350.874733
-17.490185,50,359.308269
-11.815525,50,367.67067
-46.144543,50,376.078093
-21.166999,50,384.491741
-28.793786,50,393.113086
-21.015336,50,401.666176
-17.202804,50,410.002084
-20.36947,50,418.475976
